u,i,year
23576,3333,2019
7964,1165,2010
13770,4111,2013
8507,7728,2011
7826,1194,2009
7666,3233,2017
9516,1651,2013
23808,4131,2018
21694,818,2019
7269,6724,2000
10883,421,2020
5339,2764,2012
24701,8978,2016
15393,2086,2011
5927,1535,2015
14777,10742,2015
20853,2563,2019
12933,334,2011
3338,826,2000
22265,16776,2018
10708,770,2007
2014,1150,2010
9376,246,2006
11175,302,2005
3036,580,2008
2290,13,1988
8248,4690,2005
3856,3014,2016
10916,17,2007
19020,3731,2017
2968,1241,2013
12197,8509,2014
21616,1022,2019
8274,1602,2017
14727,709,2007
2118,1176,2000
21820,972,2019
18909,2424,2018
9788,5665,2015
21396,13177,2020
11938,683,2012
8098,306,2005
12415,1036,2012
20739,8988,2020
13975,2151,2014
15196,5201,2020
18626,12379,2019
13269,1504,2007
24272,17698,2020
21809,412,2018
2557,1068,2007
3896,2682,2008
15673,3590,2015
5376,3382,2008
13872,13147,2019
19370,18654,2018
12520,31,2007
7578,2269,2017
14150,4085,2017
3833,1460,2014
6816,3872,2011
15281,6676,2010
3334,2006,2010
15910,13867,2018
17344,2183,2020
23935,12908,2020
8477,96,1999
8568,2300,2016
7925,1105,2013
12453,39,2009
7836,2633,2013
1771,221,2005
8491,7594,2010
24603,7748,2010
17633,11305,2017
24318,943,2020
7938,746,2003
19347,13189,2018
12335,11923,2018
7543,3475,2010
7122,5964,2019
1715,1692,2011
7585,1690,2009
18457,2562,2017
18155,3920,2014
9695,5393,2017
22139,3110,2019
16270,14900,2018
9989,6604,2017
6969,841,2009
13621,5452,2020
5860,3805,2017
12546,1255,2011
23091,4507,2018
8107,2289,2011
13231,9788,2007
5264,1433,2006
18535,7856,2014
16463,11271,2017
5247,4977,2020
13827,4131,2006
10109,4281,2016
5312,2185,2009
22993,12005,2011
7022,226,2005
16253,12785,2016
1849,1469,2004
8459,5411,2015
13031,2407,2009
5744,4541,2001
8773,1361,2007
8814,2986,2011
17311,2369,2015
8015,6850,2017
24856,208,1985
3470,3110,2010
6457,2501,2009
15961,2995,2019
22771,513,2019
4900,3593,2013
7473,304,2008
14995,11666,2017
2588,706,2016
22963,474,2019
4862,4463,2015
4182,3179,2006
2877,1856,2003
18392,5143,2020
5695,3018,2009
16934,189,2017
20627,1979,2017
7285,3166,2019
7048,5290,2015
11537,926,2014
4687,1770,2009
9294,1422,2014
3454,2259,1996
20041,4520,2017
20644,5092,2018
13800,4836,2016
6911,3198,2006
6744,145,2009
11128,3004,2008
20366,2352,2017
4053,237,2013
17523,5964,2019
9761,1091,2008
2673,182,2006
12025,4170,2009
10431,2110,2014
14675,10858,2006
5808,1932,2003
23824,3670,2020
3857,322,2009
10215,1437,2015
7905,2390,2012
18910,2344,2017
10851,2390,2010
21820,636,2019
6025,2181,2008
10394,757,2020
8646,6774,2016
8226,5024,2018
23024,10,2001
4721,1799,2008
12162,6277,2019
7438,5889,2013
12735,8730,2013
6524,4254,2009
6330,4135,2017
14692,7696,2019
6286,219,1998
4303,3096,2017
3141,3050,2010
11437,9178,2011
9527,5221,2008
10260,3776,2020
16143,4306,2020
17054,2790,2020
14218,1303,2004
6923,6447,2017
11304,1509,2014
10106,7561,2015
13742,2481,2018
3626,1116,2006
8122,1500,2005
24215,1221,2020
12941,5663,2009
10530,9136,2011
6410,2572,2002
5471,1470,1997
19193,3161,2017
6813,3576,2018
21924,9909,2016
24240,2484,2020
22207,1240,2019
11833,39,2014
5524,105,2007
8400,7421,2018
14266,2564,2014
6175,2487,2012
4761,2640,2006
5513,4435,2013
2709,1156,2005
17943,7164,2018
18874,391,2017
2528,1356,2009
20787,2478,2017
5078,4382,2011
3523,3440,2003
3566,2321,2007
2743,1812,2008
15861,293,2016
11967,9258,2003
9416,273,2010
10754,3443,2012
17807,1747,2015
16089,5302,2017
10734,9090,2017
6098,2923,2012
15404,4822,2020
12958,2307,2007
15170,11677,2017
11863,6297,2016
18516,10855,2017
10228,1150,1988
4437,3691,2011
6887,4486,2011
17404,9938,2015
5274,1837,2012
4171,10,2011
9919,525,2010
7079,1730,2008
10722,6233,2014
11267,4837,2005
23024,5847,2005
16873,9863,2019
16394,9292,2018
12472,4315,2011
14547,3868,2019
3553,2200,2008
9090,3115,2017
11419,2960,2005
9061,6745,2007
24916,3397,2009
13736,11138,2015
6706,148,2010
20759,176,2017
7847,4488,2017
14467,1194,2020
23788,3261,2016
8141,2386,2011
20673,16187,2019
8330,7574,2012
14199,1410,2006
1111,966,1993
16642,2770,2015
11832,5852,2010
6073,335,2006
14380,13521,2008
720,38,1988
10325,2284,2011
16454,13217,2015
6235,924,2016
17262,13452,2020
16759,6396,2015
7584,5394,2017
1946,1812,2006
15197,5357,2018
4399,2620,2003
23115,16005,2019
450,67,1998
17069,7036,2015
7672,1257,2017
7655,44,2016
19690,17815,2017
20064,6350,2020
17570,5579,2020
12497,5805,2013
7149,5064,2019
12124,666,2013
3504,1003,2002
22854,5981,2019
16506,2935,2020
18035,851,2020
6843,1083,2015
3059,957,2000
3232,1076,2014
8985,8580,2012
8970,4455,2012
12974,4497,2016
8283,59,2018
23465,2482,2019
14745,10386,2018
17193,847,2020
12939,717,2018
4101,2004,2011
5538,97,2007
18593,3826,2018
8757,4161,2017
12942,9681,2016
4951,595,2001
19092,9560,2017
18549,5472,2017
12308,832,2019
15105,871,2009
23121,23041,2020
18244,1309,2012
16956,7533,2017
21072,10208,2020
3570,1519,2009
1416,328,2017
18717,8157,2019
5300,5022,2010
1332,161,1999
16047,187,2015
5135,1246,2005
21062,5341,2020
7335,1608,2011
10225,6729,2019
16439,110,2013
14177,1506,2014
13598,4365,2015
7619,3372,2015
1585,1203,2009
11775,742,2015
10759,10731,2019
9212,179,2013
14095,9878,2019
2333,1972,2011
22875,5899,2020
21236,4985,2018
22569,1819,2020
4071,2827,2014
13580,1028,2012
13452,2267,2009
17021,9458,2018
19152,2703,2016
6328,1723,2001
7000,2241,2009
4683,1474,2011
5726,4697,2020
10731,3940,2015
6094,1346,2020
14083,2394,2010
8372,1280,2015
1825,1759,2006
5093,526,1999
13544,248,2019
14778,4921,2016
6134,1949,2014
2170,1150,1991
3085,1416,2005
6894,892,2012
7643,2136,2018
19225,175,2016
15346,12003,2020
16737,3751,2017
7590,2840,2018
15437,1892,2012
20931,11068,2020
